date,count
2026-01-09,1
2026-03-17,2
2026-03-30,1
2026-04-23,1
2026-05-01,1
2026-05-06,2
2026-05-10,1
2026-05-14,1
2026-05-19,1
2026-05-21,1
2026-05-26,2
2026-05-27,2
2026-05-30,2
2026-06-01,5
2026-06-02,1
2026-06-04,1
2026-06-05,1
2026-06-06,1
2026-06-11,6
2026-06-12,2
2026-06-13,1
2026-06-14,1
2026-06-15,6
2026-06-16,2
2026-06-17,2
2026-06-18,9
2026-06-19,1
2026-06-22,5
2026-06-23,1
2026-06-24,5
2026-06-25,4
2026-06-29,1
2026-06-30,6
2026-07-01,10
2026-07-03,2
2026-07-04,2
2026-07-05,3
2026-07-06,4
2026-07-07,4
2026-07-08,4
2026-07-09,3
2026-07-10,6
